,0
716,ABarpaaaap
717,ABarpaaaapa
718,ABarpaaaapp
719,ABarpaaap
720,ABarpaaapa
721,ABarpaaapaa
722,ABarpaaapap
723,ABarpaaapp
724,ABarpaap
725,ABarpaapa
726,ABarpaapaa
727,ABarpaapaaa
728,ABarpaapaap
729,ABarpaapaapa
730,ABarpaapaapp
731,ABarpaapap
732,ABarpaapapa
733,ABarpaapapp
734,ABarpaapappa
735,ABarpaapappp
736,ABarpaapp
737,ABarpaappa
738,ABarpaappp
739,ABarpaapppa
740,ABarpaapppp
741,ABarpap
742,ABarpapa
743,ABarpapaa
744,ABarpapaaa
745,ABarpapaaaa
746,ABarpapaaaaa
747,ABarpapaaaaaa
748,ABarpapaaaaaaa
749,ABarpapaaaaaap
750,ABarpapaaaaap
751,ABarpapaaaaapa
752,ABarpapaaaaapp
753,ABarpapaaaap
754,ABarpapaaap
755,ABarpapaap
756,ABarpapaapa
757,ABarpapaapp
758,ABarpapaappa
759,ABarpapaappp
760,ABarpapap
761,ABarpapapa
762,ABarpapapaa
763,ABarpapapaaa
764,ABarpapapaap
765,ABarpapapap
766,ABarpapapp
767,ABarpapp
768,ABarpappa
769,ABarpappaa
770,ABarpappaaa
771,ABarpappaap
772,ABarpappap
773,ABarpappapa
774,ABarpappapp
775,ABarpappp
776,ABarpapppa
777,ABarpapppaa
778,ABarpapppap
779,ABarpapppapa
780,ABarpapppapp
781,ABarpapppp
782,ABarpappppa
783,ABarpappppaa
784,ABarpappppap
785,ABarpappppp
786,ABarpp
787,ABarppa
788,ABarppaa
789,ABarppaaa
790,ABarppaaaa
791,ABarppaaaaa
792,ABarppaaaaaa
793,ABarppaaaaap
794,ABarppaaaap
795,ABarppaaap
796,ABarppaaapa
797,ABarppaaapp
798,ABarppaap
799,ABarppaapa
800,ABarppaapp
801,ABarppap
802,ABarppapa
803,ABarppapaa
804,ABarppapap
805,ABarppapp
806,ABarppappa
807,ABarppappp
808,ABarppapppa
809,ABarppapppp
810,ABarppp
811,ABarpppa
812,ABarpppaa
813,ABarpppaaa
814,ABarpppaaaa
815,ABarpppaaap
816,ABarpppaap
817,ABarpppap
818,ABarpppapa
819,ABarpppapaa
820,ABarpppapap
821,ABarpppapp
822,ABarpppp
823,ABarppppa
824,ABarppppaa
825,ABarppppap
826,ABarppppp
827,ABarpppppa
828,ABarpppppp
829,ABp
830,ABpl
831,ABpla
832,ABplaa
833,ABplaaa
834,ABplaaaa
835,ABplaaaaa
836,ABplaaaaaa
837,ABplaaaaaaa
838,ABplaaaaaaaa
839,ABplaaaaaaap
840,ABplaaaaaap
841,ABplaaaaaapa
842,ABplaaaaaapp
843,ABplaaaaaappa
844,ABplaaaaaappaa
845,ABplaaaaaappap
846,ABplaaaaaappp
847,ABplaaaaap
848,ABplaaaap
849,ABplaaaapa
850,ABplaaaapaa
851,ABplaaaapaaa
852,ABplaaaapaaaa
853,ABplaaaapaaap
854,ABplaaaapaaapa
855,ABplaaaapaaapp
856,ABplaaaapaap
857,ABplaaaapap
858,ABplaaaapapa
859,ABplaaaapapaa
860,ABplaaaapapap
861,ABplaaaapapp
862,ABplaaaapp
863,ABplaaap
864,ABplaaapa
865,ABplaaapaa
866,ABplaaapap
867,ABplaaapapa
868,ABplaaapapaa
869,ABplaaapapaaa
870,ABplaaapapaap
871,ABplaaapapap
872,ABplaaapapapa
873,ABplaaapapapaa
874,ABplaaapapapaaa
875,ABplaaapapapaap
876,ABplaaapapapap
877,ABplaaapapapp
878,ABplaaapapappa
879,ABplaaapapappp
880,ABplaaapapp
881,ABplaaapappa
882,ABplaaapappp
883,ABplaaapp
884,ABplaaappa
885,ABplaaappaa
886,ABplaaappap
887,ABplaaappapa
888,ABplaaappapp
889,ABplaaappp
890,ABplaap
891,ABplaapa
892,ABplaapaa
893,ABplaapaaa
894,ABplaapaaaa
895,ABplaapaaap
896,ABplaapaaapa
897,ABplaapaaapp
898,ABplaapaap
899,ABplaapaapa
900,ABplaapaapaa
901,ABplaapaapap
902,ABplaapaapapa
903,ABplaapaapapp
904,ABplaapaapp
905,ABplaapaappa
906,ABplaapaappp
907,ABplaapap
908,ABplaapapa
909,ABplaapapaa
910,ABplaapapaaa
911,ABplaapapaap
912,ABplaapapap
913,ABplaapapp
914,ABplaapappa
915,ABplaapappaa
916,ABplaapappap
917,ABplaapappp
918,ABplaapp
919,ABplaappa
920,ABplaappaa
921,ABplaappaaa
922,ABplaappaap
923,ABplaappap
924,ABplaappapa
925,ABplaappapp
926,ABplaappp
927,ABplaapppa
928,ABplaapppaa
929,ABplaapppap
930,ABplaapppp
931,ABplap
932,ABplapa
933,ABplapaa
934,ABplapaaa
935,ABplapaaaa
936,ABplapaaaaa
937,ABplapaaaaaa
938,ABplapaaaaap
939,ABplapaaaap
940,ABplapaaap
941,ABplapaaapa
942,ABplapaaapp
943,ABplapaap
944,ABplapaapa
945,ABplapaapp
946,ABplapap
947,ABplapapa
948,ABplapapaa
949,ABplapapap
950,ABplapapp
951,ABplapappa
952,ABplapappp
953,ABplapp
954,ABplappa
955,ABplappaa
956,ABplappaaa
957,ABplappaap
958,ABplappap
959,ABplappapa
960,ABplappapp
961,ABplappp
962,ABplapppa
963,ABplapppaa
964,ABplapppaaa
965,ABplapppaap
966,ABplapppaapa
967,ABplapppaapaa
968,ABplapppaapap
969,ABplapppaapp
970,ABplapppap
971,ABplapppapa
972,ABplapppapp
973,ABplapppp
974,ABplappppa
975,ABplappppp
976,ABplp
977,ABplpa
978,ABplpaa
979,ABplpaaa
980,ABplpaaaa
981,ABplpaaaaa
982,ABplpaaaaaa
983,ABplpaaaaaaa
984,ABplpaaaaaaaa
985,ABplpaaaaaaap
986,ABplpaaaaaap
987,ABplpaaaaaapa
988,ABplpaaaaaapp
989,ABplpaaaaap
990,ABplpaaaaapa
991,ABplpaaaaapaa
992,ABplpaaaaapap
993,ABplpaaaaapapa
994,ABplpaaaaapapp
995,ABplpaaaaapp
996,ABplpaaaaappa
997,ABplpaaaaappaa
998,ABplpaaaaappaaa
999,ABplpaaaaappaap
1000,ABplpaaaaappaapa
1001,ABplpaaaaappaapp
